               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083545,            0.030154,            0.016846,             0.40356,             0.38429,             0.28908,             0.15574,            0.046875,            0.015605,           0.0066282,           0.0033229,           0.0033229,            0.070094
                   1,            0.064854,            0.016188,            0.010879,             0.52458,             0.40575,             0.38197,             0.19313,            0.044935,            0.013913,           0.0051389,           0.0065244,           0.0065244,            0.039963
                   2,            0.062241,            0.015937,           0.0094081,             0.46336,              0.4837,             0.45334,             0.26955,            0.043183,            0.012571,           0.0040969,           0.0095939,           0.0095939,           0.0096988
                   3,            0.057093,            0.014671,           0.0086305,             0.62124,             0.42914,             0.47353,             0.29318,            0.039878,            0.012819,            0.003713,            0.009406,            0.009406,            0.009406
                   4,            0.052348,             0.01546,           0.0080726,             0.69618,             0.50443,             0.54608,             0.35928,             0.03148,            0.011758,           0.0032164,            0.009406,            0.009406,            0.009406
                   5,            0.048876,            0.014267,           0.0073474,             0.68176,             0.52951,             0.55621,             0.34846,            0.031674,            0.011799,           0.0029795,            0.009208,            0.009208,            0.009208
                   6,            0.046942,            0.013981,           0.0068388,             0.66013,             0.53122,             0.56241,             0.38018,            0.029806,            0.011465,           0.0029138,             0.00901,             0.00901,             0.00901
                   7,            0.044937,             0.01358,           0.0068417,             0.70373,             0.53069,             0.57565,              0.3682,            0.029739,            0.011342,            0.002752,            0.008812,            0.008812,            0.008812
                   8,            0.043353,            0.012707,           0.0063976,             0.71599,             0.52835,             0.57628,             0.39628,            0.027291,            0.011041,           0.0027868,            0.008614,            0.008614,            0.008614
                   9,            0.043277,            0.013488,           0.0066697,             0.72998,             0.53202,             0.57546,             0.39975,            0.027161,            0.011153,           0.0027983,            0.008416,            0.008416,            0.008416
                  10,            0.042007,            0.013375,           0.0063296,             0.73302,             0.54369,             0.58431,             0.41121,            0.026132,            0.010766,           0.0026553,            0.008218,            0.008218,            0.008218
                  11,            0.041966,            0.013558,            0.006222,             0.69854,             0.55306,             0.59238,             0.41366,             0.02566,            0.010836,           0.0025397,             0.00802,             0.00802,             0.00802
                  12,            0.040705,            0.012781,           0.0057588,             0.73589,             0.54804,             0.60411,             0.40922,            0.026172,            0.010526,           0.0022207,            0.007822,            0.007822,            0.007822
                  13,            0.039816,             0.01285,           0.0054959,              0.7679,              0.5564,             0.61468,             0.43039,            0.024864,            0.010489,           0.0021714,            0.007624,            0.007624,            0.007624
                  14,            0.038698,             0.01158,           0.0052153,             0.71346,             0.57074,             0.61819,             0.43385,            0.024898,            0.010423,           0.0022741,            0.007426,            0.007426,            0.007426
                  15,            0.038067,             0.01179,            0.005333,             0.74293,             0.55228,             0.61052,              0.4305,            0.024288,            0.010372,           0.0021394,            0.007228,            0.007228,            0.007228
                  16,            0.037796,            0.011926,           0.0052164,             0.73211,             0.55909,              0.6155,             0.42841,            0.023737,            0.010322,           0.0021029,             0.00703,             0.00703,             0.00703
                  17,            0.037951,             0.01205,           0.0053096,             0.74874,             0.54115,             0.60951,             0.43675,             0.02313,             0.01026,           0.0024096,            0.006832,            0.006832,            0.006832
                  18,            0.037334,            0.011902,           0.0050774,             0.75457,             0.56559,             0.62288,             0.44106,            0.023481,            0.010297,           0.0021603,            0.006634,            0.006634,            0.006634
                  19,            0.037103,            0.012178,           0.0050158,             0.77011,             0.56721,             0.63924,             0.45401,            0.022755,            0.010031,           0.0021221,            0.006436,            0.006436,            0.006436
                  20,            0.037313,            0.012369,           0.0050512,              0.7956,             0.56578,             0.63892,             0.45677,            0.022792,           0.0099466,           0.0018929,            0.006238,            0.006238,            0.006238
                  21,            0.035987,            0.011834,           0.0046519,             0.75267,             0.59138,             0.64674,             0.45056,            0.022636,           0.0098687,            0.002039,             0.00604,             0.00604,             0.00604
                  22,            0.036568,            0.012061,            0.004795,             0.75734,             0.57243,             0.63451,             0.45713,             0.02287,            0.009977,           0.0023125,            0.005842,            0.005842,            0.005842
                  23,            0.036215,            0.012108,           0.0047035,             0.75635,             0.58296,             0.64287,             0.44806,             0.02324,            0.009902,           0.0023042,            0.005644,            0.005644,            0.005644
                  24,            0.035574,            0.011804,           0.0046203,             0.74826,             0.57527,             0.63667,             0.44929,            0.022722,           0.0099618,           0.0019274,            0.005446,            0.005446,            0.005446
                  25,            0.034919,            0.011238,           0.0043213,             0.80906,             0.58839,             0.66486,             0.45838,             0.02257,           0.0097536,           0.0019899,            0.005248,            0.005248,            0.005248
                  26,             0.03529,            0.011766,           0.0042909,             0.77475,             0.60241,             0.66752,              0.4688,            0.022371,           0.0097346,           0.0020056,             0.00505,             0.00505,             0.00505
                  27,            0.035328,            0.011569,           0.0043208,             0.78726,             0.59733,             0.66651,             0.47277,            0.021766,            0.009549,           0.0018873,            0.004852,            0.004852,            0.004852
                  28,             0.03505,            0.011737,           0.0042168,             0.76053,             0.59238,             0.65541,             0.46419,             0.02219,           0.0096856,           0.0019063,            0.004654,            0.004654,            0.004654
                  29,            0.034708,            0.011354,           0.0040483,             0.80561,             0.58658,             0.67151,             0.47844,            0.021456,           0.0093884,           0.0017844,            0.004456,            0.004456,            0.004456
                  30,            0.034629,            0.011497,           0.0042182,             0.77149,             0.59305,             0.66368,             0.47623,             0.02176,           0.0094896,           0.0017629,            0.004258,            0.004258,            0.004258
                  31,             0.03388,            0.011242,           0.0039852,             0.81262,              0.6043,             0.68026,             0.48496,             0.02127,           0.0093676,            0.001745,             0.00406,             0.00406,             0.00406
                  32,            0.033618,            0.011353,           0.0038494,             0.81417,             0.60545,             0.68738,             0.48857,            0.020666,           0.0092671,            0.001698,            0.003862,            0.003862,            0.003862
                  33,            0.033991,            0.011299,           0.0038253,             0.79608,             0.62065,             0.69116,             0.49081,            0.020785,           0.0092999,           0.0016044,            0.003664,            0.003664,            0.003664
                  34,            0.033192,            0.010752,           0.0037413,             0.82097,             0.61532,             0.69127,             0.49217,             0.02097,           0.0092086,           0.0015833,            0.003466,            0.003466,            0.003466
                  35,            0.033442,            0.010986,           0.0036823,             0.81567,             0.60264,             0.68476,             0.49267,            0.020703,           0.0092038,           0.0015867,            0.003268,            0.003268,            0.003268
                  36,            0.032069,            0.010532,           0.0034518,             0.82858,             0.60917,             0.69689,             0.49489,            0.020637,           0.0091573,           0.0014618,             0.00307,             0.00307,             0.00307
                  37,            0.032528,            0.010821,           0.0036489,             0.81255,             0.61382,             0.69557,             0.49649,            0.020677,           0.0092129,            0.001512,            0.002872,            0.002872,            0.002872
                  38,            0.033046,            0.011259,           0.0037252,             0.79855,              0.6193,             0.69624,             0.49557,            0.020364,           0.0092082,           0.0014918,            0.002674,            0.002674,            0.002674
                  39,            0.033006,            0.011041,           0.0036055,             0.82485,             0.61382,             0.70022,             0.50257,             0.02015,           0.0090712,           0.0012761,            0.002476,            0.002476,            0.002476
                  40,            0.032244,            0.011018,           0.0033287,              0.7942,             0.62505,             0.69631,             0.49902,            0.019952,           0.0090659,           0.0014172,            0.002278,            0.002278,            0.002278
                  41,            0.032553,            0.011006,           0.0035753,             0.80603,             0.62691,             0.71062,             0.50549,            0.019845,           0.0090879,           0.0014051,             0.00208,             0.00208,             0.00208
                  42,            0.031339,            0.010584,           0.0032481,             0.81246,             0.61703,             0.70437,             0.50381,            0.019817,           0.0090091,           0.0013902,            0.001882,            0.001882,            0.001882
                  43,            0.031902,            0.010709,           0.0033608,             0.82273,             0.63157,             0.71161,             0.51243,            0.019688,           0.0089853,           0.0014196,            0.001684,            0.001684,            0.001684
                  44,            0.030545,           0.0097993,           0.0029603,             0.81926,             0.62367,             0.71244,             0.51297,            0.019724,           0.0088819,           0.0013408,            0.001486,            0.001486,            0.001486
                  45,             0.03085,            0.010521,            0.003185,             0.80947,             0.64196,             0.71263,              0.5129,            0.019586,           0.0088993,           0.0014014,            0.001288,            0.001288,            0.001288
                  46,            0.031158,            0.010786,           0.0032422,             0.81039,             0.64159,              0.7155,              0.5105,            0.019489,           0.0089128,           0.0014271,             0.00109,             0.00109,             0.00109
                  47,            0.030856,            0.010943,           0.0030745,             0.81022,             0.64285,             0.71587,             0.51632,            0.019362,           0.0088678,           0.0013427,            0.000892,            0.000892,            0.000892
                  48,            0.030417,             0.01035,           0.0030516,             0.83899,             0.62043,              0.7162,             0.51294,            0.019322,           0.0089028,           0.0014014,            0.000694,            0.000694,            0.000694
                  49,            0.030032,            0.010083,           0.0028592,             0.80985,             0.65071,             0.71934,             0.51579,            0.019244,           0.0088537,           0.0013307,            0.000496,            0.000496,            0.000496
